"","city","country","district.abbreviation","district.display_name","district.key","district.year","end_date","event_code","event_type","key","name","start_date","state_prov","year"
"168","West Valley City","USA",NA,NA,NA,NA,"2024-03-02","utwv",  0,"2024utwv","Utah Regional","2024-02-28","UT",2024
"169","Ashland","USA",chs,FIRST Chesapeake,2024chs,2024,"2024-03-03","vaash",  1,"2024vaash","CHS District Ashland VA Event","2024-03-01","VA",2024
"170","Blacksburg","USA",chs,FIRST Chesapeake,2024chs,2024,"2024-03-03","vabla",  1,"2024vabla","CHS District Blacksburg VA Event","2024-03-01","VA",2024
"171","Falls Church","USA",chs,FIRST Chesapeake,2024chs,2024,"2024-03-24","vafal",  1,"2024vafal","CHS District Falls Church VA Event presented by Department of Energy","2024-03-22","VA",2024
"172","Glen Allen","USA",chs,FIRST Chesapeake,2024chs,2024,"2024-03-17","vagle",  1,"2024vagle","CHS District Glen Allen VA Event","2024-03-15","VA",2024
"173","Portsmouth","USA",chs,FIRST Chesapeake,2024chs,2024,"2024-03-10","vapor",  1,"2024vapor","CHS District Portsmouth VA Event","2024-03-08","VA",2024
"174","Kent","USA",pnw,Pacific Northwest,2024pnw,2024,"2024-03-10","waahs",  1,"2024waahs","PNW District Auburn Event","2024-03-08","WA",2024
"175","Bonney Lake","USA",pnw,Pacific Northwest,2024pnw,2024,"2024-03-17","wabon",  1,"2024wabon","PNW District Bonney Lake Event","2024-03-15","WA",2024
"176","Bellevue","USA",pnw,Pacific Northwest,2024pnw,2024,"2024-03-24","wasam",  1,"2024wasam","PNW District Sammamish Event","2024-03-22","WA",2024
"177","Snohomish","USA",pnw,Pacific Northwest,2024pnw,2024,"2024-03-03","wasno",  1,"2024wasno","PNW District Glacier Peak Event","2024-03-01","WA",2024
"178","Yakima","USA",pnw,Pacific Northwest,2024pnw,2024,"2024-03-16","wayak",  1,"2024wayak","PNW District SunDome Event","2024-03-14","WA",2024
